,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Buy and Hold,Parameter 1,Parameter 2,Week_Type_value,Week_Type,True Labels Strategy,Logistic_Regression_pred,KNN prediction p_1.5,Linear_Model_pred
51,2015-03-18,2015,3,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,11,2015-11,12.29,12.29,12.29,12.29,0.0,6.71,0.008203435332805764,6.705,6.6562,+,81,82.0,0,1.54,green,113,0,0,16.632
52,2015-03-19,2015,3,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,11,2015-11,12.28,12.28,12.28,12.28,0.0,6.7,-0.0008136544353303242,6.698571428571428,6.6606000000000005,-,80,82.0,0,1.54,green,113,0,0,16.632
53,2015-03-20,2015,3,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,11,2015-11,12.38,12.38,12.38,12.38,0.0,6.76,0.008143241236432619,6.692857142857143,6.665,+,80,82.0,0,1.54,green,113,0,0,16.632
54,2015-03-23,2015,3,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,12,2015-12,12.35,12.35,12.35,12.35,0.0,6.74,-0.0024232887556804306,6.6885714285714295,6.667000000000002,-,79,79.0,0,1.54,green,113,0,0,16.029
55,2015-03-24,2015,3,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,12,2015-12,12.31,12.31,12.31,12.31,0.0,6.72,-0.0032387353741293308,6.6850000000000005,6.669599999999999,-,78,79.0,0,1.54,green,113,0,0,16.029
56,2015-03-25,2015,3,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,12,2015-12,12.11,12.11,12.11,12.11,0.0,6.61,-0.01624721710117416,6.672857142857143,6.670800000000002,-,77,79.0,0,1.54,green,113,0,0,16.029
57,2015-03-26,2015,3,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,12,2015-12,12.08,12.08,12.08,12.08,0.0,6.59,-0.002477173578931735,6.665,6.672199999999999,-,75,79.0,0,1.54,green,114,0,0,16.029
58,2015-03-27,2015,3,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,12,2015-12,12.1,12.1,12.1,12.1,0.0,6.6,0.0016555983608650404,6.656428571428571,6.6734,+,75,79.0,0,1.54,green,114,0,0,16.029
59,2015-03-30,2015,3,30,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,13,2015-13,12.19,12.19,12.19,12.19,0.0,6.65,0.007438167345333201,6.659285714285715,6.676799999999999,+,75,75.0,0,1.2,green,114,0,0,15.238
60,2015-03-31,2015,3,31,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,13,2015-13,12.1,12.1,12.1,12.1,0.0,6.6,-0.007383249499999911,6.6607142857142865,6.6778,-,74,75.0,0,1.2,green,114,0,0,15.238
61,2015-04-01,2015,4,1,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,13,2015-13,12.04,12.04,12.04,12.04,0.0,6.57,-0.004958657871527272,6.655714285714287,6.678,-,73,75.0,0,1.2,green,114,0,0,15.238
62,2015-04-02,2015,4,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,13,2015-13,12.05,12.05,12.05,12.05,0.0,6.58,0.0008306945029883384,6.653571428571429,6.678,+,73,75.0,0,1.2,green,114,0,0,15.238
